system_key,total_games,completed_games,incomplete_games,wins,draws,losses,win_rate,points_rate,avg_moves_per_game,avg_plies_total,avg_llm_legal_rate,avg_llm_illegal_moves,avg_latency_ms,avg_duration_s,system_display
standard,100,100,0,16,0,84,0.16,0.16,9.71,19.42,1.0,0.0,1297.2894247156783,12579.488699999996,Standard Prompt
legal_simple,100,100,0,11,0,89,0.11,0.11,10.455,20.91,1.0,0.0,1288.5947933983573,32824.6484,Legal Move System (Simple)
