system_key,system,total_games,completed_games,wins,draws,losses,win_rate,points_rate,avg_moves_per_game,avg_llm_legal_rate,avg_latency_ms
standard,Standard Prompt,100,100,16,0,84,0.16,0.16,9.71,1.0,1297.2894247156783
legal_simple,Legal Move System (Simple),100,100,11,0,89,0.11,0.11,10.455,1.0,1288.5947933983573
